feature_i,feature_j,interaction_strength,index_i,index_j
Mean curvature (500 m),Maximum Fire Temperature,0.0006008131,3,10
Land Cover (Shrub/Scrub),Clay (0-30 cm),0.0005915614,16,47
Maximum Fire Temperature,Silt (0-30 cm),0.0005900131,10,45
Land Cover (Emergent Herbaceous Wetlands),Bulk Density (30-200 cm),0.00058888993,21,42
Mean curvature (500 m),Land Cover (Evergreen Forest),0.00053977815,3,18
Land Cover (Emergent Herbaceous Wetlands),Soil Organic Carbon (0-30 cm),0.0005076735,21,37
Land Cover (Woody Wetlands),Vegetation Mode (Graminoid tundra),0.0005063,19,32
Temperature Annual Range,Land Cover (Woody Wetlands),0.0004981928,6,19
Maximum Fire Temperature,Sand (30-200 cm),0.00049337087,10,44
Vegetation Mode (Graminoid tundra),Vegetation Mode (Deciduous forest),0.00048471004,32,34
Land Cover (Shrub/Scrub),Soil Organic Carbon (30-200 cm),0.00044581664,16,38
Land Cover (Open Water),Vegetation Mode (Deciduous forest),0.0004441935,17,34
Temperature Annual Range,Land Cover (Evergreen Forest),0.00043093128,6,18
Maximum Fire Temperature,Land Cover (Open Water),0.00042971436,10,17
Temperature Seasonality,Vegetation Mode (Deciduous forest),0.00042610106,5,34
Land Cover (Shrub/Scrub),Bulk Density (0-30 cm),0.0004183762,16,41
Maximum Fire Temperature,Sand (0-30 cm),0.0004044788,10,43
Land Cover (Woody Wetlands),Sand (30-200 cm),0.00037855146,19,44
Maximum Fire Temperature,Clay (30-200 cm),0.00037555865,10,48
Elevation,Land Cover (Emergent Herbaceous Wetlands),0.00033846992,0,21
Maximum Fire Temperature,Mean Annual SWE,0.00032548685,10,11
Flammability Index,Vegetation Mode (Graminoid tundra),0.0002978699,9,32
Flammability Index,Land Cover (Emergent Herbaceous Wetlands),0.00029288584,9,21
Precipitation Seasonality,Land Cover (Shrub/Scrub),0.00028285003,8,16
Land Cover (Evergreen Forest),Nitrogen (0-30 cm),0.00027423646,18,39
Temperature Annual Range,Maximum Fire Temperature,0.000267655,6,10
Land Cover (Dwarf Scrub),Land Cover (Open Water),0.00023643789,15,17
Land Cover (Shrub/Scrub),Silt (0-30 cm),0.00022925218,16,45
Land Cover (Sedge/Herbaceous),Bulk Density (30-200 cm),0.00022877527,14,42
Flammability Index,Maximum Fire Temperature,0.00022741545,9,10
Land Cover (Evergreen Forest),Bulk Density (30-200 cm),0.00022003087,18,42
Maximum Fire Temperature,Bulk Density (0-30 cm),0.00021988834,10,41
Land Cover (Woody Wetlands),Soil Organic Carbon (0-30 cm),0.00021360422,19,37
Temperature Seasonality,Maximum Fire Temperature,0.00021145734,5,10
Elevation,Vegetation Mode (Shrub tundra),0.00019872456,0,30
Maximum Fire Temperature,Nitrogen (30-200 cm),0.00017759007,10,40
Maximum Fire Temperature,Soil Organic Carbon (0-30 cm),0.00015513027,10,37
Mean Annual SWE,Land Cover (Shrub/Scrub),0.00015479872,11,16
Land Cover (Shrub/Scrub),Land Cover (Emergent Herbaceous Wetlands),0.00014943288,16,21
Vegetation Mode (Shrub tundra),Sand (30-200 cm),0.0001489901,30,44
Precipitation Seasonality,Maximum Fire Temperature,0.0001423345,8,10
Maximum Fire Temperature,Soil Organic Carbon (30-200 cm),0.00013046876,10,38
Maximum Fire Temperature,Projected precipitation change,0.00012447208,10,13
Maximum Fire Temperature,Bulk Density (30-200 cm),9.1449845e-05,10,42
Maximum Fire Temperature,Land Cover (Shrub/Scrub),8.705378e-05,10,16
Elevation,Maximum Fire Temperature,6.180939e-05,0,10
Temperature Annual Range,Land Cover (Sedge/Herbaceous),3.4848767e-05,6,14
Elevation,Land Cover (Sedge/Herbaceous),0.0,0,14
Elevation,Land Cover (Dwarf Scrub),0.0,0,15
Elevation,Land Cover (Shrub/Scrub),0.0,0,16
Elevation,Land Cover (Evergreen Forest),0.0,0,18
Elevation,Land Cover (Woody Wetlands),0.0,0,19
Elevation,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,0,20
Elevation,Land Cover (Mixed Forest),0.0,0,22
Elevation,Land Cover (Deciduous Forest),0.0,0,23
Elevation,Land Cover (Cultivated Crops),0.0,0,24
Elevation,"Land Cover (Developed, Open Space)",0.0,0,25
Elevation,Land Cover (Grassland/Herbaceous),0.0,0,26
Elevation,Land Cover (Perennial Ice/Snow),0.0,0,27
Elevation,"Land Cover (Developed, Medium Intensity)",0.0,0,28
Elevation,Land Cover (Pasture/Hay),0.0,0,29
Elevation,Vegetation Mode (White spruce),0.0,0,31
Elevation,Vegetation Mode (Black spruce),0.0,0,33
Elevation,Vegetation Mode (Deciduous forest),0.0,0,34
Elevation,Vegetation Mode (Wetland tundra),0.0,0,35
Elevation,Vegetation Mode (Temperate rainforest),0.0,0,36
Slope,Land Cover (Evergreen Forest),0.0,1,18
Slope,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,1,20
Slope,Land Cover (Mixed Forest),0.0,1,22
Slope,Land Cover (Deciduous Forest),0.0,1,23
Slope,Land Cover (Cultivated Crops),0.0,1,24
Slope,"Land Cover (Developed, Open Space)",0.0,1,25
Slope,Land Cover (Grassland/Herbaceous),0.0,1,26
Slope,Land Cover (Perennial Ice/Snow),0.0,1,27
Slope,"Land Cover (Developed, Medium Intensity)",0.0,1,28
Slope,Land Cover (Pasture/Hay),0.0,1,29
Slope,Vegetation Mode (White spruce),0.0,1,31
Slope,Vegetation Mode (Black spruce),0.0,1,33
Slope,Vegetation Mode (Deciduous forest),0.0,1,34
Slope,Vegetation Mode (Wetland tundra),0.0,1,35
Slope,Vegetation Mode (Temperate rainforest),0.0,1,36
Aspect,Maximum Fire Temperature,0.0,2,10
Aspect,Land Cover (Sedge/Herbaceous),0.0,2,14
Aspect,Land Cover (Dwarf Scrub),0.0,2,15
Aspect,Land Cover (Shrub/Scrub),0.0,2,16
Aspect,Land Cover (Evergreen Forest),0.0,2,18
Aspect,Land Cover (Woody Wetlands),0.0,2,19
Aspect,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,2,20
Aspect,Land Cover (Mixed Forest),0.0,2,22
Aspect,Land Cover (Deciduous Forest),0.0,2,23
Aspect,Land Cover (Cultivated Crops),0.0,2,24
Aspect,"Land Cover (Developed, Open Space)",0.0,2,25
Aspect,Land Cover (Grassland/Herbaceous),0.0,2,26
Aspect,Land Cover (Perennial Ice/Snow),0.0,2,27
Aspect,"Land Cover (Developed, Medium Intensity)",0.0,2,28
Aspect,Land Cover (Pasture/Hay),0.0,2,29
Aspect,Vegetation Mode (Shrub tundra),0.0,2,30
Aspect,Vegetation Mode (White spruce),0.0,2,31
Aspect,Vegetation Mode (Black spruce),0.0,2,33
Aspect,Vegetation Mode (Deciduous forest),0.0,2,34
Aspect,Vegetation Mode (Wetland tundra),0.0,2,35
Aspect,Vegetation Mode (Temperate rainforest),0.0,2,36
Mean curvature (500 m),Land Cover (Sedge/Herbaceous),0.0,3,14
Mean curvature (500 m),Land Cover (Shrub/Scrub),0.0,3,16
Mean curvature (500 m),Land Cover (Woody Wetlands),0.0,3,19
Mean curvature (500 m),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,3,20
Mean curvature (500 m),Land Cover (Mixed Forest),0.0,3,22
Mean curvature (500 m),Land Cover (Deciduous Forest),0.0,3,23
Mean curvature (500 m),Land Cover (Cultivated Crops),0.0,3,24
Mean curvature (500 m),"Land Cover (Developed, Open Space)",0.0,3,25
Mean curvature (500 m),Land Cover (Grassland/Herbaceous),0.0,3,26
Mean curvature (500 m),Land Cover (Perennial Ice/Snow),0.0,3,27
Mean curvature (500 m),"Land Cover (Developed, Medium Intensity)",0.0,3,28
Mean curvature (500 m),Land Cover (Pasture/Hay),0.0,3,29
Mean curvature (500 m),Vegetation Mode (Shrub tundra),0.0,3,30
Mean curvature (500 m),Vegetation Mode (White spruce),0.0,3,31
Mean curvature (500 m),Vegetation Mode (Black spruce),0.0,3,33
Mean curvature (500 m),Vegetation Mode (Deciduous forest),0.0,3,34
Mean curvature (500 m),Vegetation Mode (Wetland tundra),0.0,3,35
Mean curvature (500 m),Vegetation Mode (Temperate rainforest),0.0,3,36
Mean curvature (2 km),Land Cover (Sedge/Herbaceous),0.0,4,14
Mean curvature (2 km),Land Cover (Dwarf Scrub),0.0,4,15
Mean curvature (2 km),Land Cover (Evergreen Forest),0.0,4,18
Mean curvature (2 km),Land Cover (Woody Wetlands),0.0,4,19
Mean curvature (2 km),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,4,20
Mean curvature (2 km),Land Cover (Mixed Forest),0.0,4,22
Mean curvature (2 km),Land Cover (Deciduous Forest),0.0,4,23
Mean curvature (2 km),Land Cover (Cultivated Crops),0.0,4,24
Mean curvature (2 km),"Land Cover (Developed, Open Space)",0.0,4,25
Mean curvature (2 km),Land Cover (Grassland/Herbaceous),0.0,4,26
Mean curvature (2 km),Land Cover (Perennial Ice/Snow),0.0,4,27
Mean curvature (2 km),"Land Cover (Developed, Medium Intensity)",0.0,4,28
Mean curvature (2 km),Land Cover (Pasture/Hay),0.0,4,29
Mean curvature (2 km),Vegetation Mode (Shrub tundra),0.0,4,30
Mean curvature (2 km),Vegetation Mode (White spruce),0.0,4,31
Mean curvature (2 km),Vegetation Mode (Black spruce),0.0,4,33
Mean curvature (2 km),Vegetation Mode (Deciduous forest),0.0,4,34
Mean curvature (2 km),Vegetation Mode (Wetland tundra),0.0,4,35
Mean curvature (2 km),Vegetation Mode (Temperate rainforest),0.0,4,36
Temperature Seasonality,Land Cover (Dwarf Scrub),0.0,5,15
Temperature Seasonality,Land Cover (Shrub/Scrub),0.0,5,16
Temperature Seasonality,Land Cover (Evergreen Forest),0.0,5,18
Temperature Seasonality,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,5,20
Temperature Seasonality,Land Cover (Mixed Forest),0.0,5,22
Temperature Seasonality,Land Cover (Deciduous Forest),0.0,5,23
Temperature Seasonality,Land Cover (Cultivated Crops),0.0,5,24
Temperature Seasonality,"Land Cover (Developed, Open Space)",0.0,5,25
Temperature Seasonality,Land Cover (Grassland/Herbaceous),0.0,5,26
Temperature Seasonality,Land Cover (Perennial Ice/Snow),0.0,5,27
Temperature Seasonality,"Land Cover (Developed, Medium Intensity)",0.0,5,28
Temperature Seasonality,Land Cover (Pasture/Hay),0.0,5,29
Temperature Seasonality,Vegetation Mode (Shrub tundra),0.0,5,30
Temperature Seasonality,Vegetation Mode (White spruce),0.0,5,31
Temperature Seasonality,Vegetation Mode (Black spruce),0.0,5,33
Temperature Seasonality,Vegetation Mode (Wetland tundra),0.0,5,35
Temperature Seasonality,Vegetation Mode (Temperate rainforest),0.0,5,36
Temperature Annual Range,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,6,20
Temperature Annual Range,Land Cover (Mixed Forest),0.0,6,22
Temperature Annual Range,Land Cover (Deciduous Forest),0.0,6,23
Temperature Annual Range,Land Cover (Cultivated Crops),0.0,6,24
Temperature Annual Range,"Land Cover (Developed, Open Space)",0.0,6,25
Temperature Annual Range,Land Cover (Grassland/Herbaceous),0.0,6,26
Temperature Annual Range,Land Cover (Perennial Ice/Snow),0.0,6,27
Temperature Annual Range,"Land Cover (Developed, Medium Intensity)",0.0,6,28
Temperature Annual Range,Land Cover (Pasture/Hay),0.0,6,29
Temperature Annual Range,Vegetation Mode (Shrub tundra),0.0,6,30
Temperature Annual Range,Vegetation Mode (White spruce),0.0,6,31
Temperature Annual Range,Vegetation Mode (Black spruce),0.0,6,33
Temperature Annual Range,Vegetation Mode (Deciduous forest),0.0,6,34
Temperature Annual Range,Vegetation Mode (Wetland tundra),0.0,6,35
Temperature Annual Range,Vegetation Mode (Temperate rainforest),0.0,6,36
Annual Precipitation,Maximum Fire Temperature,0.0,7,10
Annual Precipitation,Land Cover (Evergreen Forest),0.0,7,18
Annual Precipitation,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,7,20
Annual Precipitation,Land Cover (Mixed Forest),0.0,7,22
Annual Precipitation,Land Cover (Deciduous Forest),0.0,7,23
Annual Precipitation,Land Cover (Cultivated Crops),0.0,7,24
Annual Precipitation,"Land Cover (Developed, Open Space)",0.0,7,25
Annual Precipitation,Land Cover (Grassland/Herbaceous),0.0,7,26
Annual Precipitation,Land Cover (Perennial Ice/Snow),0.0,7,27
Annual Precipitation,"Land Cover (Developed, Medium Intensity)",0.0,7,28
Annual Precipitation,Land Cover (Pasture/Hay),0.0,7,29
Annual Precipitation,Vegetation Mode (Shrub tundra),0.0,7,30
Annual Precipitation,Vegetation Mode (White spruce),0.0,7,31
Annual Precipitation,Vegetation Mode (Black spruce),0.0,7,33
Annual Precipitation,Vegetation Mode (Deciduous forest),0.0,7,34
Annual Precipitation,Vegetation Mode (Wetland tundra),0.0,7,35
Annual Precipitation,Vegetation Mode (Temperate rainforest),0.0,7,36
Precipitation Seasonality,Land Cover (Sedge/Herbaceous),0.0,8,14
Precipitation Seasonality,Land Cover (Dwarf Scrub),0.0,8,15
Precipitation Seasonality,Land Cover (Evergreen Forest),0.0,8,18
Precipitation Seasonality,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,8,20
Precipitation Seasonality,Land Cover (Mixed Forest),0.0,8,22
Precipitation Seasonality,Land Cover (Deciduous Forest),0.0,8,23
Precipitation Seasonality,Land Cover (Cultivated Crops),0.0,8,24
Precipitation Seasonality,"Land Cover (Developed, Open Space)",0.0,8,25
Precipitation Seasonality,Land Cover (Grassland/Herbaceous),0.0,8,26
Precipitation Seasonality,Land Cover (Perennial Ice/Snow),0.0,8,27
Precipitation Seasonality,"Land Cover (Developed, Medium Intensity)",0.0,8,28
Precipitation Seasonality,Land Cover (Pasture/Hay),0.0,8,29
Precipitation Seasonality,Vegetation Mode (Shrub tundra),0.0,8,30
Precipitation Seasonality,Vegetation Mode (White spruce),0.0,8,31
Precipitation Seasonality,Vegetation Mode (Black spruce),0.0,8,33
Precipitation Seasonality,Vegetation Mode (Deciduous forest),0.0,8,34
Precipitation Seasonality,Vegetation Mode (Wetland tundra),0.0,8,35
Precipitation Seasonality,Vegetation Mode (Temperate rainforest),0.0,8,36
Flammability Index,Land Cover (Evergreen Forest),0.0,9,18
Flammability Index,Land Cover (Woody Wetlands),0.0,9,19
Flammability Index,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,9,20
Flammability Index,Land Cover (Mixed Forest),0.0,9,22
Flammability Index,Land Cover (Deciduous Forest),0.0,9,23
Flammability Index,Land Cover (Cultivated Crops),0.0,9,24
Flammability Index,"Land Cover (Developed, Open Space)",0.0,9,25
Flammability Index,Land Cover (Grassland/Herbaceous),0.0,9,26
Flammability Index,Land Cover (Perennial Ice/Snow),0.0,9,27
Flammability Index,"Land Cover (Developed, Medium Intensity)",0.0,9,28
Flammability Index,Land Cover (Pasture/Hay),0.0,9,29
Flammability Index,Vegetation Mode (White spruce),0.0,9,31
Flammability Index,Vegetation Mode (Black spruce),0.0,9,33
Flammability Index,Vegetation Mode (Deciduous forest),0.0,9,34
Flammability Index,Vegetation Mode (Wetland tundra),0.0,9,35
Flammability Index,Vegetation Mode (Temperate rainforest),0.0,9,36
Maximum Fire Temperature,Land Cover (Sedge/Herbaceous),0.0,10,14
Maximum Fire Temperature,Land Cover (Dwarf Scrub),0.0,10,15
Maximum Fire Temperature,Land Cover (Evergreen Forest),0.0,10,18
Maximum Fire Temperature,Land Cover (Woody Wetlands),0.0,10,19
Maximum Fire Temperature,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,10,20
Maximum Fire Temperature,Land Cover (Mixed Forest),0.0,10,22
Maximum Fire Temperature,Land Cover (Deciduous Forest),0.0,10,23
Maximum Fire Temperature,Land Cover (Cultivated Crops),0.0,10,24
Maximum Fire Temperature,"Land Cover (Developed, Open Space)",0.0,10,25
Maximum Fire Temperature,Land Cover (Grassland/Herbaceous),0.0,10,26
Maximum Fire Temperature,Land Cover (Perennial Ice/Snow),0.0,10,27
Maximum Fire Temperature,"Land Cover (Developed, Medium Intensity)",0.0,10,28
Maximum Fire Temperature,Land Cover (Pasture/Hay),0.0,10,29
Maximum Fire Temperature,Vegetation Mode (Shrub tundra),0.0,10,30
Maximum Fire Temperature,Vegetation Mode (White spruce),0.0,10,31
Maximum Fire Temperature,Vegetation Mode (Black spruce),0.0,10,33
Maximum Fire Temperature,Vegetation Mode (Deciduous forest),0.0,10,34
Maximum Fire Temperature,Vegetation Mode (Wetland tundra),0.0,10,35
Maximum Fire Temperature,Vegetation Mode (Temperate rainforest),0.0,10,36
Maximum Fire Temperature,Clay (0-30 cm),0.0,10,47
Mean Annual SWE,Land Cover (Evergreen Forest),0.0,11,18
Mean Annual SWE,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,11,20
Mean Annual SWE,Land Cover (Mixed Forest),0.0,11,22
Mean Annual SWE,Land Cover (Deciduous Forest),0.0,11,23
Mean Annual SWE,Land Cover (Cultivated Crops),0.0,11,24
Mean Annual SWE,"Land Cover (Developed, Open Space)",0.0,11,25
Mean Annual SWE,Land Cover (Grassland/Herbaceous),0.0,11,26
Mean Annual SWE,Land Cover (Perennial Ice/Snow),0.0,11,27
Mean Annual SWE,"Land Cover (Developed, Medium Intensity)",0.0,11,28
Mean Annual SWE,Land Cover (Pasture/Hay),0.0,11,29
Mean Annual SWE,Vegetation Mode (White spruce),0.0,11,31
Mean Annual SWE,Vegetation Mode (Black spruce),0.0,11,33
Mean Annual SWE,Vegetation Mode (Deciduous forest),0.0,11,34
Mean Annual SWE,Vegetation Mode (Wetland tundra),0.0,11,35
Mean Annual SWE,Vegetation Mode (Temperate rainforest),0.0,11,36
Trend in SWE,Land Cover (Evergreen Forest),0.0,12,18
Trend in SWE,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,12,20
Trend in SWE,Land Cover (Mixed Forest),0.0,12,22
Trend in SWE,Land Cover (Deciduous Forest),0.0,12,23
Trend in SWE,Land Cover (Cultivated Crops),0.0,12,24
Trend in SWE,"Land Cover (Developed, Open Space)",0.0,12,25
Trend in SWE,Land Cover (Grassland/Herbaceous),0.0,12,26
Trend in SWE,Land Cover (Perennial Ice/Snow),0.0,12,27
Trend in SWE,"Land Cover (Developed, Medium Intensity)",0.0,12,28
Trend in SWE,Land Cover (Pasture/Hay),0.0,12,29
Trend in SWE,Vegetation Mode (Shrub tundra),0.0,12,30
Trend in SWE,Vegetation Mode (White spruce),0.0,12,31
Trend in SWE,Vegetation Mode (Black spruce),0.0,12,33
Trend in SWE,Vegetation Mode (Wetland tundra),0.0,12,35
Trend in SWE,Vegetation Mode (Temperate rainforest),0.0,12,36
Projected precipitation change,Land Cover (Sedge/Herbaceous),0.0,13,14
Projected precipitation change,Land Cover (Dwarf Scrub),0.0,13,15
Projected precipitation change,Land Cover (Shrub/Scrub),0.0,13,16
Projected precipitation change,Land Cover (Evergreen Forest),0.0,13,18
Projected precipitation change,Land Cover (Woody Wetlands),0.0,13,19
Projected precipitation change,Land Cover (Barren Land (Rock/Sand/Clay)),0.0,13,20
Projected precipitation change,Land Cover (Mixed Forest),0.0,13,22
Projected precipitation change,Land Cover (Deciduous Forest),0.0,13,23
Projected precipitation change,Land Cover (Cultivated Crops),0.0,13,24
Projected precipitation change,"Land Cover (Developed, Open Space)",0.0,13,25
Projected precipitation change,Land Cover (Grassland/Herbaceous),0.0,13,26
Projected precipitation change,Land Cover (Perennial Ice/Snow),0.0,13,27
Projected precipitation change,"Land Cover (Developed, Medium Intensity)",0.0,13,28
Projected precipitation change,Land Cover (Pasture/Hay),0.0,13,29
Projected precipitation change,Vegetation Mode (Shrub tundra),0.0,13,30
Projected precipitation change,Vegetation Mode (White spruce),0.0,13,31
Projected precipitation change,Vegetation Mode (Black spruce),0.0,13,33
Projected precipitation change,Vegetation Mode (Deciduous forest),0.0,13,34
Projected precipitation change,Vegetation Mode (Wetland tundra),0.0,13,35
Projected precipitation change,Vegetation Mode (Temperate rainforest),0.0,13,36
Land Cover (Sedge/Herbaceous),Land Cover (Dwarf Scrub),0.0,14,15
Land Cover (Sedge/Herbaceous),Land Cover (Shrub/Scrub),0.0,14,16
Land Cover (Sedge/Herbaceous),Land Cover (Open Water),0.0,14,17
Land Cover (Sedge/Herbaceous),Land Cover (Evergreen Forest),0.0,14,18
Land Cover (Sedge/Herbaceous),Land Cover (Woody Wetlands),0.0,14,19
Land Cover (Sedge/Herbaceous),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,14,20
Land Cover (Sedge/Herbaceous),Land Cover (Emergent Herbaceous Wetlands),0.0,14,21
Land Cover (Sedge/Herbaceous),Land Cover (Mixed Forest),0.0,14,22
Land Cover (Sedge/Herbaceous),Land Cover (Deciduous Forest),0.0,14,23
Land Cover (Sedge/Herbaceous),Land Cover (Cultivated Crops),0.0,14,24
Land Cover (Sedge/Herbaceous),"Land Cover (Developed, Open Space)",0.0,14,25
Land Cover (Sedge/Herbaceous),Land Cover (Grassland/Herbaceous),0.0,14,26
Land Cover (Sedge/Herbaceous),Land Cover (Perennial Ice/Snow),0.0,14,27
Land Cover (Sedge/Herbaceous),"Land Cover (Developed, Medium Intensity)",0.0,14,28
Land Cover (Sedge/Herbaceous),Land Cover (Pasture/Hay),0.0,14,29
Land Cover (Sedge/Herbaceous),Vegetation Mode (Shrub tundra),0.0,14,30
Land Cover (Sedge/Herbaceous),Vegetation Mode (White spruce),0.0,14,31
Land Cover (Sedge/Herbaceous),Vegetation Mode (Graminoid tundra),0.0,14,32
Land Cover (Sedge/Herbaceous),Vegetation Mode (Black spruce),0.0,14,33
Land Cover (Sedge/Herbaceous),Vegetation Mode (Deciduous forest),0.0,14,34
Land Cover (Sedge/Herbaceous),Vegetation Mode (Wetland tundra),0.0,14,35
Land Cover (Sedge/Herbaceous),Vegetation Mode (Temperate rainforest),0.0,14,36
Land Cover (Sedge/Herbaceous),Soil Organic Carbon (0-30 cm),0.0,14,37
Land Cover (Sedge/Herbaceous),Soil Organic Carbon (30-200 cm),0.0,14,38
Land Cover (Sedge/Herbaceous),Nitrogen (0-30 cm),0.0,14,39
Land Cover (Sedge/Herbaceous),Nitrogen (30-200 cm),0.0,14,40
Land Cover (Sedge/Herbaceous),Bulk Density (0-30 cm),0.0,14,41
Land Cover (Sedge/Herbaceous),Sand (0-30 cm),0.0,14,43
Land Cover (Sedge/Herbaceous),Sand (30-200 cm),0.0,14,44
Land Cover (Sedge/Herbaceous),Silt (0-30 cm),0.0,14,45
Land Cover (Sedge/Herbaceous),Silt (30-200 cm),0.0,14,46
Land Cover (Sedge/Herbaceous),Clay (0-30 cm),0.0,14,47
Land Cover (Sedge/Herbaceous),Clay (30-200 cm),0.0,14,48
Land Cover (Dwarf Scrub),Land Cover (Shrub/Scrub),0.0,15,16
Land Cover (Dwarf Scrub),Land Cover (Evergreen Forest),0.0,15,18
Land Cover (Dwarf Scrub),Land Cover (Woody Wetlands),0.0,15,19
Land Cover (Dwarf Scrub),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,15,20
Land Cover (Dwarf Scrub),Land Cover (Emergent Herbaceous Wetlands),0.0,15,21
Land Cover (Dwarf Scrub),Land Cover (Mixed Forest),0.0,15,22
Land Cover (Dwarf Scrub),Land Cover (Deciduous Forest),0.0,15,23
Land Cover (Dwarf Scrub),Land Cover (Cultivated Crops),0.0,15,24
Land Cover (Dwarf Scrub),"Land Cover (Developed, Open Space)",0.0,15,25
Land Cover (Dwarf Scrub),Land Cover (Grassland/Herbaceous),0.0,15,26
Land Cover (Dwarf Scrub),Land Cover (Perennial Ice/Snow),0.0,15,27
Land Cover (Dwarf Scrub),"Land Cover (Developed, Medium Intensity)",0.0,15,28
Land Cover (Dwarf Scrub),Land Cover (Pasture/Hay),0.0,15,29
Land Cover (Dwarf Scrub),Vegetation Mode (Shrub tundra),0.0,15,30
Land Cover (Dwarf Scrub),Vegetation Mode (White spruce),0.0,15,31
Land Cover (Dwarf Scrub),Vegetation Mode (Graminoid tundra),0.0,15,32
Land Cover (Dwarf Scrub),Vegetation Mode (Black spruce),0.0,15,33
Land Cover (Dwarf Scrub),Vegetation Mode (Deciduous forest),0.0,15,34
Land Cover (Dwarf Scrub),Vegetation Mode (Wetland tundra),0.0,15,35
Land Cover (Dwarf Scrub),Vegetation Mode (Temperate rainforest),0.0,15,36
Land Cover (Dwarf Scrub),Soil Organic Carbon (0-30 cm),0.0,15,37
Land Cover (Dwarf Scrub),Soil Organic Carbon (30-200 cm),0.0,15,38
Land Cover (Dwarf Scrub),Nitrogen (0-30 cm),0.0,15,39
Land Cover (Dwarf Scrub),Bulk Density (30-200 cm),0.0,15,42
Land Cover (Dwarf Scrub),Sand (0-30 cm),0.0,15,43
Land Cover (Dwarf Scrub),Sand (30-200 cm),0.0,15,44
Land Cover (Dwarf Scrub),Silt (0-30 cm),0.0,15,45
Land Cover (Dwarf Scrub),Silt (30-200 cm),0.0,15,46
Land Cover (Dwarf Scrub),Clay (30-200 cm),0.0,15,48
Land Cover (Shrub/Scrub),Land Cover (Open Water),0.0,16,17
Land Cover (Shrub/Scrub),Land Cover (Evergreen Forest),0.0,16,18
Land Cover (Shrub/Scrub),Land Cover (Woody Wetlands),0.0,16,19
Land Cover (Shrub/Scrub),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,16,20
Land Cover (Shrub/Scrub),Land Cover (Mixed Forest),0.0,16,22
Land Cover (Shrub/Scrub),Land Cover (Deciduous Forest),0.0,16,23
Land Cover (Shrub/Scrub),Land Cover (Cultivated Crops),0.0,16,24
Land Cover (Shrub/Scrub),"Land Cover (Developed, Open Space)",0.0,16,25
Land Cover (Shrub/Scrub),Land Cover (Grassland/Herbaceous),0.0,16,26
Land Cover (Shrub/Scrub),Land Cover (Perennial Ice/Snow),0.0,16,27
Land Cover (Shrub/Scrub),"Land Cover (Developed, Medium Intensity)",0.0,16,28
Land Cover (Shrub/Scrub),Land Cover (Pasture/Hay),0.0,16,29
Land Cover (Shrub/Scrub),Vegetation Mode (Shrub tundra),0.0,16,30
Land Cover (Shrub/Scrub),Vegetation Mode (White spruce),0.0,16,31
Land Cover (Shrub/Scrub),Vegetation Mode (Graminoid tundra),0.0,16,32
Land Cover (Shrub/Scrub),Vegetation Mode (Black spruce),0.0,16,33
Land Cover (Shrub/Scrub),Vegetation Mode (Deciduous forest),0.0,16,34
Land Cover (Shrub/Scrub),Vegetation Mode (Wetland tundra),0.0,16,35
Land Cover (Shrub/Scrub),Vegetation Mode (Temperate rainforest),0.0,16,36
Land Cover (Shrub/Scrub),Soil Organic Carbon (0-30 cm),0.0,16,37
Land Cover (Shrub/Scrub),Nitrogen (0-30 cm),0.0,16,39
Land Cover (Shrub/Scrub),Bulk Density (30-200 cm),0.0,16,42
Land Cover (Shrub/Scrub),Sand (0-30 cm),0.0,16,43
Land Cover (Shrub/Scrub),Sand (30-200 cm),0.0,16,44
Land Cover (Shrub/Scrub),Silt (30-200 cm),0.0,16,46
Land Cover (Open Water),Land Cover (Evergreen Forest),0.0,17,18
Land Cover (Open Water),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,17,20
Land Cover (Open Water),Land Cover (Mixed Forest),0.0,17,22
Land Cover (Open Water),Land Cover (Deciduous Forest),0.0,17,23
Land Cover (Open Water),Land Cover (Cultivated Crops),0.0,17,24
Land Cover (Open Water),"Land Cover (Developed, Open Space)",0.0,17,25
Land Cover (Open Water),Land Cover (Grassland/Herbaceous),0.0,17,26
Land Cover (Open Water),Land Cover (Perennial Ice/Snow),0.0,17,27
Land Cover (Open Water),"Land Cover (Developed, Medium Intensity)",0.0,17,28
Land Cover (Open Water),Land Cover (Pasture/Hay),0.0,17,29
Land Cover (Open Water),Vegetation Mode (Shrub tundra),0.0,17,30
Land Cover (Open Water),Vegetation Mode (White spruce),0.0,17,31
